ClassID,Packet,Delay (ms)
2,434,74.55
3,434,1.707
1,434,76.98
2,435,75.793
3,435,2.205
1,435,77.21900000000001
2,436,76.694
3,436,3.43
2,437,76.804
1,436,77.676
3,437,2.682
2,438,76.769
1,437,77.22200000000001
3,438,2.22
2,439,76.869
1,438,77.47800000000001
3,439,2.1630000000000003
1,439,77.47800000000001
2,440,77.699
3,440,2.253
2,441,77.05
1,440,78.756
3,441,2.069
2,442,77.563
1,441,79.515
3,442,1.461
2,443,77.563
1,442,66.593
3,443,1.666
1,443,67.652
2,444,78.784
2,445,78.907
3,444,0.7030000000000001
1,444,67.717
2,446,79.046
1,445,67.717
3,445,0.058
2,447,80.555
1,446,68.504
3,446,0.272
2,448,80.82000000000001
1,447,68.86
3,447,0.021
2,449,81.648
1,448,68.86
3,448,0.328
2,450,82.144
1,449,69.122
3,449,0.596
2,451,82.144
1,450,69.593
3,450,1.111
2,452,82.324
3,451,2.1590000000000003
1,451,69.037
2,453,82.462
1,452,69.06400000000001
3,452,2.573
2,454,82.043
1,453,68.931
3,453,1.033
2,455,82.727
1,454,70.049
3,454,0.5700000000000001
2,456,82.717
1,455,70.569
3,455,1.87
2,457,83.369
1,456,70.47
3,456,1.2570000000000001
2,458,83.291
1,457,71.686
3,457,1.808
2,459,84.438
1,458,71.81400000000001
3,458,1.301
1,459,69.82600000000001
2,460,84.453
3,459,1.099
1,460,70.266
2,461,84.84
3,460,1.266
1,461,69.947
2,462,84.266
3,461,1.27
1,462,69.633
2,463,84.04
3,462,1.643
1,463,70.269
2,464,84.377
3,463,2.037
2,465,85.297
1,464,70.554
3,464,2.217
2,466,83.895
1,465,70.632
3,465,1.103
1,466,70.608
2,467,84.46300000000001
1,467,70.608
2,468,85.393
3,466,0.8270000000000001
2,469,85.653
1,468,70.604
3,467,0.068
2,470,86.522
1,469,70.558
3,468,0.078
1,470,71.433
2,471,86.613
3,469,0.054
1,471,71.433
2,472,86.837
3,470,0.326
1,472,72.061
3,471,0.712
2,473,87.375
1,473,72.398
3,472,2.48
2,474,86.495
1,474,72.703
2,475,87.015
3,473,2.931
2,476,86.519
3,474,2.749
1,475,73.07900000000001
1,476,73.07900000000001
3,475,2.3890000000000002
2,477,86.802
1,477,73.604
3,476,2.327
2,478,86.667
1,478,73.384
2,479,86.659
3,477,2.248
1,479,73.159
2,480,87.13
3,478,1.945
1,480,74.022
2,481,86.772
3,479,1.971
2,482,86.772
1,481,73.48
3,480,1.805
1,482,74.504
2,483,86.608
3,481,3.044
1,483,75.909
2,484,87.388
3,482,2.575
1,484,75.029
2,485,87.885
3,483,3.755
2,486,87.599
3,484,4.032
1,485,74.88
1,486,75.283
2,487,88.059
3,485,4.352
1,487,75.923
2,488,88.33800000000001
3,486,4.126
1,488,75.301
2,489,88.28
3,487,4.283
1,489,75.72200000000001
2,490,88.45100000000001
3,488,4.283
1,490,76.437
2,491,89.283
3,489,4.7330000000000005
1,491,76.437
2,492,87.671
3,490,5.878
2,493,88.737
1,492,74.434
3,491,5.746
1,493,75.492
2,494,89.898
3,492,6.191
1,494,75.86
2,495,89.529
3,493,6.71
1,495,75.88
2,496,88.538
3,494,5.5680000000000005
3,495,6.8870000000000005
2,497,88.988
1,496,75.708
3,496,6.41
1,497,75.708
2,498,89.244
3,497,8.05
1,498,76.59700000000001
2,499,89.227
3,498,7.949
1,499,77.626
2,500,88.89
1,500,79.2
2,501,88.89
3,499,7.758
3,500,8.555
1,501,78.102
2,502,91.086
2,503,90.611
1,502,78.686
3,501,8.502
1,503,78.406
3,502,9.542
2,504,91.679
1,504,78.556
3,503,8.693
2,505,91.29
3,504,8.693
1,505,78.732
2,506,92.345
3,505,9.139
1,506,79.355
2,507,91.529
3,506,9.11
1,507,79.46600000000001
2,508,91.632
3,507,9.57
1,508,80.901
2,509,92.111
1,509,81.169
2,510,92.994
3,508,10.647
2,511,93.334
1,510,80.371
3,509,0.01
2,512,94.083
1,511,80.20100000000001
3,510,10.609
1,512,80.422
3,511,5.377
2,513,95.358
2,514,93.562
3,512,1.11
1,513,79.409
2,515,94.06400000000001
1,514,80.31
3,513,1.703
1,515,80.31
2,516,93.815
3,514,0.926
1,516,80.733
2,517,93.72200000000001
3,515,1.194
2,518,93.72200000000001
3,516,3.035
1,517,81.497
3,517,3.935
2,519,94.07000000000001
1,518,82.861
3,518,3.247
2,520,94.07000000000001
1,519,82.81700000000001
1,520,82.59700000000001
2,521,94.842
3,519,4.458
1,521,82.879
2,522,95.831
3,520,3.575
1,522,82.752
2,523,95.73100000000001
3,521,3.382
1,523,82.574
2,524,97.159
3,522,3.4250000000000003
1,524,82.563
2,525,95.73
3,523,3.6630000000000003
1,525,83.399
2,526,96.532
3,524,3.6630000000000003
1,526,83.399
2,527,96.291
3,525,4.9
2,528,96.42
1,527,83.58200000000001
3,526,4.9
2,529,98.039
1,528,84.377
3,527,5.194
2,530,96.976
1,529,84.089
3,528,5.194
2,531,97.375
1,530,84.653
3,529,4.324
1,531,84.143
2,532,99.14
3,530,5.397
1,532,84.143
2,533,98.63
3,531,6.572
1,533,84.306
2,534,98.042
3,532,5.965
1,534,85.507
2,535,98.042
3,533,5.9270000000000005
1,535,85.96000000000001
2,536,98.757
3,534,7.232
2,537,98.723
1,536,85.553
3,535,7.687
1,537,85.316
2,538,98.706
3,536,7.3790000000000004
1,538,87.262
2,539,99.18
3,537,8.107
1,539,86.805
2,540,100.125
3,538,8.001
1,540,86.88
